autore,titolo,soggetto,editore,anno,collocazione,Lingua,ISBN,Classificazione,disponibile
Kundera Milan,La vita è altrove,Letteratura,Adelphi,1987,Lett,,,,si
Kundera Milan,L'insostenibile leggerezza dell'essere,Letteratura,Adelphi,1985,Lett,,,,si
Kundera Milan,Lo scherzo,Letteratura,Adelphi,1986,Lett,,,,si
Kuznecov Anatolij,Babij Jar,Letteratura,Adelphi,2019,Lett,,,,si
Lem Stanislaw,L'invincibile,Letteratura,Mondadori,2003,Lett,,,,si
Levi Carlo,Cristo si è fermato a Eboli,Letteratura,Mondadori,1968,Lett,,,,si
Levi Primo,Se questo è un uomo,Letteratura,Repubblica,2002,Lett,,,,si
London Jack,Romanzi,Letteratura,Casini,1988,Lett,,,,si
Malaparte Curzio,La pelle,Letteratura,Mondadori,1981,Lett,,,,si
Maltz Albert ,Lungo giorno di una breve vita,Letteratura,Editori Riuniti,1960,Lett,,,,si
Melville Herman,Taipi,Letteratura,Editori Riuniti,1968,Lett,,,,si
Moravia Alberto,La cosa,Letteratura,Bompiani,1989,Lett,,,,si
Moravia Alberto,Gli indifferenti,Letteratura,Bompiani,1990,Lett,,,,si
Pasolini Pierpaolo,Lettere luterane (2 copie),Letteratura,Einaudi,1991,Lett,,,,si
Pasolini Pierpaolo,Le belle bandiere (2 copie),Letteratura,Editori Riuniti,1977,Lett,,,,si
Pasolini Pierpaolo,Il caos (2 copie),Letteratura,Editori Riuniti,1981,Lett,,,,si
Pavese Cesare,Il mestiere di vivere,Letteratura,Einaudi,1982,Lett,,,,si
Petrarca Francesco,Rime,Letteratura,Giusti,1933,Lett,,,,si
Peyrefitte Georges,Le chiavi di san Pietro,Letteratura,Longanesi,1958,Lett,,,,si
Piontek Heinz,Il guado. La scia di fumo. Segni d'acqua,Letteratura,Nuova Fortezza,1988,Lett,,,,si
Poe Edgar Allan,Le avventure di Gordon Pym,Letteratura,Newton Compton,1992,Lett,,,,si
Poe Edgar Allan,Tales of Mistery and Imagination,Letteratura,Harper,2011,Lett,,,,si
Polevoi Boris,Il ritorno,Letteratura,Culura sociale ,1951,Lett,,,,si
Polo Marco,Il milione,Letteratura,Club del libro,1965,Lett,,,,si
Pope Alexander,Il riccio rapito,Letteratura,Rondinella,1940,Lett,,,,si
Powell Richard,Vacanze matte,Letteratura,Garzanti,1967,Lett,,,,si
Prokosch Frederic,Gli idoli della caverna,Letteratura,Mondadori,1951,Lett,,,,si
Remarque Erich Maria,Niente di nuovo sul fronte occidentale,Letteratura,Mondadori,1983,Lett,,,,si
Rigoni Stern Mario,Il sergente nella neve. Ritorno sul Don.,Letteratura,Einaudi,1990,Lett,,,,si
